FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,Classifications 1,Classifications 2,Classifications 3,Classifications 4,Classifications 5,Other Classifications,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId,duration,price
EPSRC,EP/S035362/1,University College London,"Science, Tech, Eng and Public Policy",Research Grant,Watson,Jeremy,Daniel,NA,NA,NA,NA,NA,PETRAS 2,2019-01-01,2023-09-30,13849999,NA,NA,Active,Artificial Intelligence,Human-Computer Interactions,Information & Knowledge Mgmt,Networks & Distributed Systems,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/S035362/1,17B1B72C-8084-4E6A-B7C3-15933738887C,798CB33D-C79E-4578-83F2-72606407192C,3A5E126D-C175-4730-9B7B-E6D8CF447F83,325143CD-A5C8-4890-8BE2-8C7E9A36C9D2,1733,7991.920946335834
EPSRC,EP/T023333/1,University of Oxford,Engineering Science,Research Grant,Pierrehumbert,Janet,Breckenridge,NA,NA,NA,NA,NA,"Exaggeration, cohesion, and fragmentation in on-line forums",2020-10-01,2023-09-30,604763,NA,NA,Active,Artificial Intelligence,Computational Linguistics,NA,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/T023333/1,24C6F14C-D8AD-4C4E-B92C-246A894598A7,798CB33D-C79E-4578-83F2-72606407192C,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,D3DCA540-4192-4D13-B9C5-2D40D6BE6BB4,1094,552.7998171846435
EPSRC,EP/N020111/1,University of Surrey,Computing Science,Research Grant,Li,Shujun,NA,http://orcid.org/0000-0001-5628-7328,NA,NA,NA,NA,COMMANDO-HUMANS: COMputational Modelling and Automatic Non-intrusive Detection Of HUMan behAviour based iNSecurity,2016-04-01,2018-04-30,208099,NA,NA,Closed,Artificial Intelligence,Cognitive Psychology,Human-Computer Interactions,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/N020111/1,9BEFF095-25CA-475E-A559-15A027FAFE47,798CB33D-C79E-4578-83F2-72606407192C,67B34D05-3A52-4A09-8FF9-F2398D60E246,6540FAF4-A535-4B7E-BDA1-F7B175ED150A,759,274.17523056653494
EPSRC,EP/K035959/1,University of Bristol,Computer Science,Research Grant,Ray,Oliver,NA,NA,NA,NA,NA,NA,Symbolic Support for Scientific Discovery in Systems Biology,2014-01-31,2015-04-30,98672,NA,NA,Closed,Artificial Intelligence,Bioinformatics,Robotics & Autonomy,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/K035959/1,1112FED7-125C-45F3-940E-2834BAE7EB09,798CB33D-C79E-4578-83F2-72606407192C,4A348A76-B2D0-4DDD-804A-CE735A6D3798,7A922AC3-E0A3-4F57-8DB8-317550CD5717,454,217.33920704845815
EPSRC,EP/D052378/1,Queen's University of Belfast,Computer Science,Research Grant,Perrott,Ron,NA,NA,NA,NA,NA,NA,e-Science Centre Call : Belfast e-Science Centre,2006-03-01,2008-02-29,182992,NA,NA,Closed,Artificial Intelligence,Information & Knowledge Mgmt,Networks & Distributed Systems,Software Engineering,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/D052378/1,8E9C6D92-18A8-48FC-AD5A-3109D6F328F4,798CB33D-C79E-4578-83F2-72606407192C,EC23DA53-CA73-4104-A3F6-2A9523484E69,C1917109-0148-4573-A9BF-29A28B75A93C,730,250.67397260273972
EPSRC,EP/H022112/1,University of Nottingham,Faculty of Engineering,Research Grant,Russell,Noah,Aaron,NA,NA,NA,NA,NA,Synthetic Cognitive Systems,2010-03-01,2015-08-31,1068620,NA,NA,Closed,Artificial Intelligence,Biomedical neuroscience,NA,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/H022112/1,A46E55EE-B5E8-4163-AF43-3B72402378F2,798CB33D-C79E-4578-83F2-72606407192C,936D002F-A8D1-4A93-AE5D-825ED0903D8D,FE49D688-5506-4602-A145-1172AFFD29BD,2009,531.9163763066202
EPSRC,EP/J020389/1,Loughborough University,"Electronic, Electrical & Systems Enginee",Research Grant,Phan,Raphael,Chung-Wei,NA,NA,NA,NA,NA,Game Theoretic Privacy-Preserving Collaborative Data Mining,2012-05-21,2013-05-20,120188,NA,NA,Closed,Artificial Intelligence,Digital Signal Processing,Information & Knowledge Mgmt,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/J020389/1,D3D929E2-50FA-4155-9331-42620B0883CC,798CB33D-C79E-4578-83F2-72606407192C,CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF,ADDCB8EF-A17A-47E6-A83C-1399FC42F9F2,364,330.1868131868132
EPSRC,EP/K004948/1,University of Kent,Sch of Computing,Research Grant,Freitas,Alex,NA,NA,NA,NA,NA,NA,Predicting the Volume of Distribution of Drugs and Toxicants with Data Mining Methods,2013-01-22,2015-01-21,103641,NA,NA,Closed,Artificial Intelligence,Bioinformatics,Information & Knowledge Mgmt,Tools for the biosciences,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/K004948/1,F7ED485E-237E-4DD3-8E59-45DFB7D5FAC6,798CB33D-C79E-4578-83F2-72606407192C,C6D0044A-2CD2-4167-B90B-922AF53E361F,FE34B076-8C18-4B36-9693-ECACB36D6A1E,729,142.1687242798354
EPSRC,EP/F067127/1,Imperial College London,Dept of Computing,Research Grant,Colton,Simon,NA,NA,NA,NA,NA,NA,Enhancing Objet Trouve Methods in Graphic Design (A Feasibility Study),2008-04-01,2009-03-31,95571,NA,NA,Closed,Artificial Intelligence,Cognitive Science Appl. in ICT,Design HTP,Design Processes,Digital Art & Design,"Image & Vision Computing,Multimedia,Publishing",https://gtr.ukri.org:443/projects?ref=EP/F067127/1,5743EE80-5F81-4536-87B2-3605CCFE81C7,798CB33D-C79E-4578-83F2-72606407192C,46387D84-F71E-4B7D-8C7D-9C288F113510,F0F4BD12-F24A-4617-9BE9-615A9EE3AC1F,364,262.5576923076923
EPSRC,EP/W004801/1,University of Cambridge,Chemical Engineering and Biotechnology,Research Grant,King,Ross,NA,NA,NA,NA,NA,NA,AMBITION: AI-driven biomedical robotic automation for research continuity,2021-10-01,2022-12-31,302752,NA,NA,Active,Artificial Intelligence,Control Engineering,Design Engineering,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=EP/W004801/1,E2C13423-027B-4700-B2A1-3C9367F90891,798CB33D-C79E-4578-83F2-72606407192C,D1774113-D5D2-4B7C-A412-66A90FE4B96F,64F028B1-C7D4-42DC-ADB6-B5DDD88C88B7,456,663.9298245614035
